,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
110,Residential Plot,PKR1.6 Crore,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
111,Residential Plot,PKR85 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
112,Plot File,PKR24 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,
113,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
114,Plot File,PKR12.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,
115,Plot File,PKR6.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,
116,Plot File,PKR6.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
117,Plot File,PKR6.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
118,Plot File,PKR6.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
119,Plot File,PKR12.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
120,Residential Plot,PKR85 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
121,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
122,Residential Plot,PKR1.6 Crore,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
123,Plot File,PKR24 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
124,Plot File,PKR12.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
125,Residential Plot,PKR85 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
126,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
127,Residential Plot,PKR1.6 Crore,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
128,Residential Plot,PKR85 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
129,Plot File,PKR24 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
130,Plot File,PKR12.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
131,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
132,Plot File,PKR2.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
133,Plot File,PKR13 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
134,Residential Plot,PKR67 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,
135,Plot File,PKR17.5 Lakh,PKR1.75 Lakh,PKR11 Thousand,50 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,
136,Residential Plot,PKR1.6 Crore,PKR24 Lakh,PKR2.13 Lakh,36 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
137,Residential Plot,PKR85 Lakh,PKR12.75 Lakh,PKR1.13 Lakh,36 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
138,Residential Plot,PKR1.6 Crore,PKR24 Lakh,PKR2.13 Lakh,36 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
